thread_num,extime,ycsb_tuple_num,ycsb_max_ope,ycsb_rratio,ycsb_rmw,skew,protocol,tps,abort_rate
16,10,1000000,5,50,0,0,Silo,3844100,0.0001
16,10,1000000,5,50,0,0,2PL-NoWait,4119136,0.0002
16,10,1000000,5,50,0,0,D2PL,3783171,0.0000
16,10,1000000,5,50,0,0.2,Silo,3912296,0.0001
16,10,1000000,5,50,0,0.2,2PL-NoWait,4167865,0.0002
16,10,1000000,5,50,0,0.2,D2PL,3766896,0.0000
16,10,1000000,5,50,0,0.6,Silo,3799866,0.0009
16,10,1000000,5,50,0,0.6,2PL-NoWait,3699962,0.0017
16,10,1000000,5,50,0,0.6,D2PL,3466427,0.0000
16,10,1000000,5,50,0,0.8,Silo,1722522,0.0121
16,10,1000000,5,50,0,0.8,2PL-NoWait,1444935,0.0200
16,10,1000000,5,50,0,0.8,D2PL,3991121,0.0000
16,10,1000000,5,50,0,0.9,Silo,991718,0.0322
16,10,1000000,5,50,0,0.9,2PL-NoWait,839783,0.0721
16,10,1000000,5,50,0,0.9,D2PL,2539355,0.0000
16,10,1000000,5,50,0,0.95,Silo,830137,0.0551
16,10,1000000,5,50,0,0.95,2PL-NoWait,698645,0.1541
16,10,1000000,5,50,0,0.95,D2PL,1802658,0.0000
16,10,1000000,5,50,0,0.99,Silo,746237,0.0886
16,10,1000000,5,50,0,0.99,2PL-NoWait,608935,0.2300
16,10,1000000,5,50,0,0.99,D2PL,1443316,0.0000
16,10,1000000,5,95,0,0,Silo,4537564,0.0000
16,10,1000000,5,95,0,0,2PL-NoWait,4546952,0.0000
16,10,1000000,5,95,0,0,D2PL,4347858,0.0000
16,10,1000000,5,95,0,0.2,Silo,4557667,0.0000
16,10,1000000,5,95,0,0.2,2PL-NoWait,4589102,0.0000
16,10,1000000,5,95,0,0.2,D2PL,4379942,0.0000
16,10,1000000,5,95,0,0.6,Silo,5013978,0.0001
16,10,1000000,5,95,0,0.6,2PL-NoWait,4871376,0.0002
16,10,1000000,5,95,0,0.6,D2PL,4747995,0.0000
16,10,1000000,5,95,0,0.8,Silo,4315114,0.0022
16,10,1000000,5,95,0,0.8,2PL-NoWait,3333171,0.0047
16,10,1000000,5,95,0,0.8,D2PL,5207750,0.0000
16,10,1000000,5,95,0,0.9,Silo,2961808,0.0063
16,10,1000000,5,95,0,0.9,2PL-NoWait,1993711,0.0131
16,10,1000000,5,95,0,0.9,D2PL,5119499,0.0000
16,10,1000000,5,95,0,0.95,Silo,2392168,0.0095
16,10,1000000,5,95,0,0.95,2PL-NoWait,1569049,0.0202
16,10,1000000,5,95,0,0.95,D2PL,4566072,0.0000
16,10,1000000,5,95,0,0.99,Silo,2028497,0.0123
16,10,1000000,5,95,0,0.99,2PL-NoWait,1334835,0.0282
16,10,1000000,5,95,0,0.99,D2PL,3643693,0.0000
16,10,1000000,10,50,0,0,Silo,1863398,0.0003
16,10,1000000,10,50,0,0,2PL-NoWait,1980008,0.0006
16,10,1000000,10,50,0,0,D2PL,1807202,0.0000
16,10,1000000,10,50,0,0.2,Silo,1867376,0.0004
16,10,1000000,10,50,0,0.2,2PL-NoWait,1994492,0.0007
16,10,1000000,10,50,0,0.2,D2PL,1827434,0.0000
16,10,1000000,10,50,0,0.6,Silo,1638371,0.0038
16,10,1000000,10,50,0,0.6,2PL-NoWait,1611658,0.0066
16,10,1000000,10,50,0,0.6,D2PL,1919523,0.0000
16,10,1000000,10,50,0,0.8,Silo,609863,0.0395
16,10,1000000,10,50,0,0.8,2PL-NoWait,521636,0.0717
16,10,1000000,10,50,0,0.8,D2PL,1394737,0.0000
16,10,1000000,10,50,0,0.9,Silo,377312,0.1128
16,10,1000000,10,50,0,0.9,2PL-NoWait,315040,0.2787
16,10,1000000,10,50,0,0.9,D2PL,652745,0.0000
16,10,1000000,10,50,0,0.95,Silo,331969,0.1969
16,10,1000000,10,50,0,0.95,2PL-NoWait,267426,0.3923
16,10,1000000,10,50,0,0.95,D2PL,489025,0.0000
16,10,1000000,10,50,0,0.99,Silo,299316,0.2635
16,10,1000000,10,50,0,0.99,2PL-NoWait,249204,0.3945
16,10,1000000,10,50,0,0.99,D2PL,396156,0.0000
16,10,1000000,10,95,0,0,Silo,2167269,0.0000
16,10,1000000,10,95,0,0,2PL-NoWait,2131304,0.0001
16,10,1000000,10,95,0,0,D2PL,2074712,0.0000
16,10,1000000,10,95,0,0.2,Silo,2181670,0.0000
16,10,1000000,10,95,0,0.2,2PL-NoWait,2117544,0.0001
16,10,1000000,10,95,0,0.2,D2PL,2068209,0.0000
16,10,1000000,10,95,0,0.6,Silo,2389990,0.0004
16,10,1000000,10,95,0,0.6,2PL-NoWait,2232754,0.0011
16,10,1000000,10,95,0,0.6,D2PL,2214324,0.0000
16,10,1000000,10,95,0,0.8,Silo,1691679,0.0079
16,10,1000000,10,95,0,0.8,2PL-NoWait,1257592,0.0174
16,10,1000000,10,95,0,0.8,D2PL,2385651,0.0000
16,10,1000000,10,95,0,0.9,Silo,1068481,0.0210
16,10,1000000,10,95,0,0.9,2PL-NoWait,718594,0.0466
16,10,1000000,10,95,0,0.9,D2PL,1938539,0.0000
16,10,1000000,10,95,0,0.95,Silo,867165,0.0304
16,10,1000000,10,95,0,0.95,2PL-NoWait,580250,0.0740
16,10,1000000,10,95,0,0.95,D2PL,1468021,0.0000
16,10,1000000,10,95,0,0.99,Silo,694192,0.0404
16,10,1000000,10,95,0,0.99,2PL-NoWait,495865,0.0998
16,10,1000000,10,95,0,0.99,D2PL,1180135,0.0000
16,10,1000000,15,50,0,0,Silo,1189958,0.0008
16,10,1000000,15,50,0,0,2PL-NoWait,1259639,0.0015
16,10,1000000,15,50,0,0,D2PL,1149870,0.0000
16,10,1000000,15,50,0,0.2,Silo,1194895,0.0008
16,10,1000000,15,50,0,0.2,2PL-NoWait,1265839,0.0016
16,10,1000000,15,50,0,0.2,D2PL,1157003,0.0000
16,10,1000000,15,50,0,0.6,Silo,980131,0.0082
16,10,1000000,15,50,0,0.6,2PL-NoWait,942027,0.0149
16,10,1000000,15,50,0,0.6,D2PL,1203730,0.0000
16,10,1000000,15,50,0,0.8,Silo,334210,0.0773
16,10,1000000,15,50,0,0.8,2PL-NoWait,283112,0.1794
16,10,1000000,15,50,0,0.8,D2PL,612028,0.0000
16,10,1000000,15,50,0,0.9,Silo,217856,0.2189
16,10,1000000,15,50,0,0.9,2PL-NoWait,172264,0.4322
16,10,1000000,15,50,0,0.9,D2PL,284187,0.0000
16,10,1000000,15,50,0,0.95,Silo,192147,0.3337
16,10,1000000,15,50,0,0.95,2PL-NoWait,150496,0.4416
16,10,1000000,15,50,0,0.95,D2PL,214845,0.0000
16,10,1000000,15,50,0,0.99,Silo,172821,0.3976
16,10,1000000,15,50,0,0.99,2PL-NoWait,144520,0.3866
16,10,1000000,15,50,0,0.99,D2PL,197899,0.0000
16,10,1000000,15,95,0,0,Silo,1427616,0.0001
16,10,1000000,15,95,0,0,2PL-NoWait,1398533,0.0002
16,10,1000000,15,95,0,0,D2PL,1337123,0.0000
16,10,1000000,15,95,0,0.2,Silo,1435491,0.0001
16,10,1000000,15,95,0,0.2,2PL-NoWait,1412151,0.0002
16,10,1000000,15,95,0,0.2,D2PL,1339390,0.0000
16,10,1000000,15,95,0,0.6,Silo,1539348,0.0010
16,10,1000000,15,95,0,0.6,2PL-NoWait,1430740,0.0025
16,10,1000000,15,95,0,0.6,D2PL,1435874,0.0000
16,10,1000000,15,95,0,0.8,Silo,986997,0.0162
16,10,1000000,15,95,0,0.8,2PL-NoWait,697910,0.0393
16,10,1000000,15,95,0,0.8,D2PL,1466313,0.0000
16,10,1000000,15,95,0,0.9,Silo,605251,0.0410
16,10,1000000,15,95,0,0.9,2PL-NoWait,392184,0.1008
16,10,1000000,15,95,0,0.9,D2PL,924818,0.0000
16,10,1000000,15,95,0,0.95,Silo,499682,0.0604
16,10,1000000,15,95,0,0.95,2PL-NoWait,307055,0.1427
16,10,1000000,15,95,0,0.95,D2PL,686420,0.0000
16,10,1000000,15,95,0,0.99,Silo,435321,0.0790
16,10,1000000,15,95,0,0.99,2PL-NoWait,270084,0.1952
16,10,1000000,15,95,0,0.99,D2PL,565925,0.0000
16,10,500000,5,50,0,0,Silo,4423585,0.0001
16,10,500000,5,50,0,0,2PL-NoWait,4725242,0.0003
16,10,500000,5,50,0,0,D2PL,4196311,0.0000
16,10,500000,5,50,0,0.2,Silo,4415795,0.0002
16,10,500000,5,50,0,0.2,2PL-NoWait,4744385,0.0003
16,10,500000,5,50,0,0.2,D2PL,4255342,0.0000
16,10,500000,5,50,0,0.6,Silo,3972756,0.0015
16,10,500000,5,50,0,0.6,2PL-NoWait,3871544,0.0025
16,10,500000,5,50,0,0.6,D2PL,4402952,0.0000
16,10,500000,5,50,0,0.8,Silo,1620608,0.0139
16,10,500000,5,50,0,0.8,2PL-NoWait,1374221,0.0230
16,10,500000,5,50,0,0.8,D2PL,4162568,0.0000
16,10,500000,5,50,0,0.9,Silo,971793,0.0351
16,10,500000,5,50,0,0.9,2PL-NoWait,840202,0.0869
16,10,500000,5,50,0,0.9,D2PL,2466869,0.0000
16,10,500000,5,50,0,0.95,Silo,756945,0.0597
16,10,500000,5,50,0,0.95,2PL-NoWait,705436,0.1668
16,10,500000,5,50,0,0.95,D2PL,1791955,0.0000
16,10,500000,5,50,0,0.99,Silo,710824,0.0930
16,10,500000,5,50,0,0.99,2PL-NoWait,632756,0.2364
16,10,500000,5,50,0,0.99,D2PL,1457943,0.0000
16,10,500000,5,95,0,0,Silo,5457848,0.0000
16,10,500000,5,95,0,0,2PL-NoWait,5477522,0.0000
16,10,500000,5,95,0,0,D2PL,5145947,0.0000
